Lap,Driver,Decision,LapTime,CumulativeTime,TyreAge,Position,EngineerMessage
1,NOR,push,87.94859733025753,87.94859733025753,1,5,"Push now. Gap 0.77s ahead, opportunity to gain position 1."
1,VER,push,86.4584590631481,86.4584590631481,1,4,"Push now. Gap 0.48s ahead, opportunity to gain position 4."
1,LEC,conserve,87.52447116814992,87.52447116814992,1,4,"Manage tyres. Running P1, maintaining race pace."
1,PER,conserve,87.82667238230792,87.82667238230792,1,4,"Manage tyres. Running P1, maintaining race pace."
1,SAI,push,87.68201130505928,87.68201130505928,1,3,"Push now. Gap 0.21s ahead, opportunity to gain position 3."
2,NOR,conserve,87.76478057805812,175.71337790831564,2,5,"Manage tyres. Running P1, maintaining race pace."
2,VER,conserve,88.39770339081754,174.85616245396562,2,4,"Manage tyres. Running P4, maintaining race pace."
2,LEC,push,87.3229370212511,174.847408189401,2,3,"Push now. Gap 0.42s ahead, opportunity to gain position 4."
2,PER,push,87.91703481857719,175.74370720088513,2,5,"Push now. Gap 0.87s ahead, opportunity to gain position 1."
2,SAI,push,88.23618222896359,175.91819353402286,2,5,"Push now. Gap 0.53s ahead, opportunity to gain position 3."
3,NOR,conserve,88.13728566166496,263.8506635699806,3,5,"Manage tyres. Running P1, maintaining race pace."
3,VER,conserve,86.90316181685546,261.7593242708211,3,4,"Manage tyres. Running P1, maintaining race pace."
3,LEC,push,87.01060664208288,261.85801483148384,3,4,"Push now. Gap 0.23s ahead, opportunity to gain position 5."
3,PER,conserve,88.41355007363285,264.157257274518,3,5,"Manage tyres. Running P5, maintaining race pace."
3,SAI,conserve,88.27337117670258,264.19156471072546,3,5,"Manage tyres. Running P2, maintaining race pace."
4,NOR,conserve,87.82008559360811,351.6707491635887,4,5,"Manage tyres. Running P4, maintaining race pace."
4,VER,conserve,88.24205404962447,350.00137832044555,4,4,"Manage tyres. Running P4, maintaining race pace."
4,LEC,conserve,88.492272191671,350.35028702315486,4,4,"Manage tyres. Running P3, maintaining race pace."
4,PER,conserve,87.90704098955258,352.06429826407054,4,5,"Manage tyres. Running P1, maintaining race pace."
4,SAI,push,88.69971207409353,352.89127678481896,4,5,"Push now. Gap 0.50s ahead, opportunity to gain position 2."
5,NOR,push,87.23899300527465,438.9097421688634,5,5,"Push now. Gap 0.20s ahead, opportunity to gain position 3."
5,VER,conserve,88.36906366463269,438.37044198507823,5,4,"Manage tyres. Running P4, maintaining race pace."
5,LEC,push,87.6796833994832,438.02997042263803,5,3,"Push now. Gap 0.95s ahead, opportunity to gain position 3."
5,PER,push,89.07336741421126,441.1376656782818,5,5,"Push now. Gap 0.11s ahead, opportunity to gain position 1."
5,SAI,conserve,87.70663421730461,440.59791100212357,5,4,"Manage tyres. Running P5, maintaining race pace."
6,NOR,conserve,88.27059771161771,527.1803398804811,6,5,"Manage tyres. Running P4, maintaining race pace."
6,VER,conserve,89.23944448225762,527.6098864673359,6,5,"Manage tyres. Running P4, maintaining race pace."
6,LEC,conserve,87.75595087824067,525.7859213008787,6,3,"Manage tyres. Running P1, maintaining race pace."
6,PER,conserve,87.6417296652925,528.7793953435743,6,5,"Manage tyres. Running P5, maintaining race pace."
6,SAI,conserve,88.97839037436015,529.5763013764837,6,5,"Manage tyres. Running P2, maintaining race pace."
7,NOR,conserve,89.2001615337746,616.3805014142557,7,5,"Manage tyres. Running P2, maintaining race pace."
7,VER,conserve,89.15366045344454,616.7635469207804,7,5,"Manage tyres. Running P1, maintaining race pace."
7,LEC,conserve,89.12062763928456,614.9065489401632,7,3,"Manage tyres. Running P2, maintaining race pace."
7,PER,conserve,89.50150848446371,618.2809038280379,7,5,"Manage tyres. Running P5, maintaining race pace."
7,SAI,conserve,89.17775222397282,618.7540536004565,7,5,"Manage tyres. Running P4, maintaining race pace."
8,NOR,conserve,89.67272282805372,706.0532242423094,8,5,"Manage tyres. Running P5, maintaining race pace."
8,VER,conserve,89.2350784900918,705.9986254108723,8,4,"Manage tyres. Running P4, maintaining race pace."
8,LEC,conserve,88.72928671763717,703.6358356578004,8,3,"Manage tyres. Running P2, maintaining race pace."
8,PER,conserve,89.53256787563356,707.8134717036714,8,5,"Manage tyres. Running P5, maintaining race pace."
8,SAI,conserve,87.83285526742979,706.5869088678862,8,4,"Manage tyres. Running P1, maintaining race pace."
9,NOR,push,87.96415364617404,794.0173778884835,9,5,"Push now. Gap 0.71s ahead, opportunity to gain position 4."
9,VER,conserve,89.7309739181588,795.7295993290311,9,5,"Manage tyres. Running P1, maintaining race pace."
9,LEC,conserve,88.93963545271083,792.5754711105112,9,3,"Manage tyres. Running P2, maintaining race pace."
9,PER,conserve,89.23140012387341,797.0448718275449,9,5,"Manage tyres. Running P1, maintaining race pace."
9,SAI,conserve,88.44681945792368,795.0337283258099,9,3,"Manage tyres. Running P5, maintaining race pace."
10,NOR,conserve,88.2555779509453,882.2729558394287,10,5,"Manage tyres. Running P2, maintaining race pace."
10,VER,conserve,88.36009095455478,884.0896902835859,10,5,"Manage tyres. Running P4, maintaining race pace."
